id,title,title_sv,description,description_sv,availability,link,image_link,price,brand,google_product_category,condition,custom_label_0
babyzen-yoyo2,Babyzen YOYO2,Babyzen YOYO2,"Babyzen YOYO2 lightweight stroller. Compact, cabin-size approved, perfect for exploring Stockholm. Daily rental price. Book 6+ days = 1 day free.","Babyzen YOYO2 lättvagn. Kompakt, handbagagegodkänd, perfekt för att upptäcka Stockholm. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.",in_stock,https://www.strollbystockholm.com/strollers/babyzen-yoyo2,https://www.strollbystockholm.com/assets/images/products/babyzen-yoyo2.png,17 EUR,Babyzen,Baby & Toddler > Baby Transport > Baby Strollers,new,stroller
bugaboo-bee5,Bugaboo Bee5,Bugaboo Bee5,Bugaboo Bee5 stroller. Comfortable and versatile for city trips in Stockholm. Daily rental price. Book 6+ days = 1 day free.,Bugaboo Bee5 barnvagn. Bekväm och mångsidig för stadsturer i Stockholm. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/strollers/bugaboo-bee5,https://www.strollbystockholm.com/assets/images/products/bugaboo-bee5.png,30 EUR,Bugaboo,Baby & Toddler > Baby Transport > Baby Strollers,new,stroller
thule-urban-glide2-double,Thule Urban Glide 2 Double,Thule Urban Glide 2 Double,"Thule Urban Glide 2 Double stroller. All-terrain double stroller, great for families in Stockholm. Daily rental price. Book 6+ days = 1 day free.","Thule Urban Glide 2 Double vagn. Terränganpassad dubbelvagn, perfekt för familjer i Stockholm. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.",in_stock,https://www.strollbystockholm.com/strollers/thule-urban-glide2-double,https://www.strollbystockholm.com/assets/images/products/thule-urban-glide2-double.png,30 EUR,Thule,Baby & Toddler > Baby Transport > Baby Strollers,new,stroller
maxicosi-pebble-360,Maxi-Cosi Pebble 360 Car Seat,Maxi-Cosi Pebble 360 Bilbarnstol,Safe rear-facing infant car seat with ISOFIX compatibility. Daily rental price. Book 6+ days = 1 day free.,Säker bakåtvänd bilbarnstol med ISOFIX-kompatibilitet. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/car-seats/maxicosi-pebble-360,https://www.strollbystockholm.com/assets/images/products/maxicosi-pebble-360.png,39 EUR,Maxi-Cosi,Vehicles & Parts > Vehicle Seats > Car Seats,new,carseat
babybjorn-travel-cot,BabyBjörn Travel Cot,BabyBjörn Resesäng,"Lightweight and foldable travel cot, perfect for trips in Stockholm. Daily rental price. Book 6+ days = 1 day free.","Lätt och hopfällbar resesäng, perfekt för resor i Stockholm. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.",in_stock,https://www.strollbystockholm.com/baby-cots/babybjorn-travel-cot,https://www.strollbystockholm.com/assets/images/products/babybjorn-travel-cot.png,15 EUR,BabyBjörn,Baby & Toddler > Nursery Furniture > Cribs & Bassinets,new,cot
babybjorn-carrier-mini,BabyBjörn Baby Carrier Mini,BabyBjörn Bärsele Mini,"Comfortable carrier for newborns, ergonomic design. Daily rental price. Book 6+ days = 1 day free.","Bekväm bärsele för nyfödda, ergonomisk design. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.",in_stock,https://www.strollbystockholm.com/carriers-and-bouncers/babybjorn-carrier-mini,https://www.strollbystockholm.com/assets/images/products/babybjorn-carrier-mini.png,29 EUR,BabyBjörn,Baby & Toddler > Baby Transport > Baby Carriers,new,carrier
stokke-tripp-trapp,Stokke Tripp Trapp,Stokke Tripp Trapp,Stokke Tripp Trapp high chair. Iconic Scandinavian design for baby feeding. Daily rental price. Book 6+ days = 1 day free.,Stokke Tripp Trapp barnstol. Ikonisk skandinavisk design för matning. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/highchairs/stokke-tripp-trapp,https://www.strollbystockholm.com/assets/images/products/stokke-tripp-trapp.png,18 EUR,Stokke,Baby & Toddler > Baby Feeding > High Chairs & Booster Seats,new,highchair
lego-duplo-box,LEGO Duplo Box,LEGO Duplo Låda,LEGO Duplo play set for creative fun. Daily rental price. Book 6+ days = 1 day free.,LEGO Duplo lekset för kreativ lek. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/toys-and-books/lego-duplo-box,https://www.strollbystockholm.com/assets/images/products/lego-duplo-box.png,12 EUR,LEGO,Toys & Games > Toys > Building Toys > Construction Sets,new,toy
baby-monitor,Baby Monitor,Babyvakt,Reliable baby monitor with sound and video. Daily rental price. Book 6+ days = 1 day free.,Tillförlitlig babyvakt med ljud och video. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/wellness/baby-monitor,https://www.strollbystockholm.com/assets/images/products/baby-monitor.png,15 EUR,Philips Avent,Baby & Toddler > Baby Health > Baby Monitors,new,wellness
stroller-carseat-combo,Stroller + Car Seat Combo,Barnvagn + Bilbarnstol Paket,Bundle deal: stroller + car seat rental. Daily rental price. Book 6+ days = 1 day free.,Paket: barnvagn + bilbarnstol. Dygnspris. Vid bokning av 6+ dagar = 1 dag gratis.,in_stock,https://www.strollbystockholm.com/baby-gear-combo-deals/stroller-carseat-combo,https://www.strollbystockholm.com/assets/images/products/stroller-carseat-combo.png,45 EUR,Strollby,Baby & Toddler > Baby Transport,new,combo
